# H99_CNYTCNYT_counts.txt
# Counts of Ssd1-binding motif CNYTCNYT in Cryptococcus neoformans H99 messenger RNAs
# mRNA sequences taken from Wallace, Maufrais, et al 2020, https://doi.org/10.5281/zenodo.3627875
# Edward Wallace, Edward.Wallace@ed.ac.uk, 2024
#
# Columns
#   id:          Gene id, CNAG_00001 etc.
#   count_5UTR:  CNYTCNYT counts in annotated 5'UTR
#   length_5UTR: length in nt of annotated 5'UTR
#   count_CDS:   CNYTCNYT counts in annotated coding sequence (CDS)
#   length_CDS: length in nt of annotated CDS
#   count_3UTR:  CNYTCNYT counts in annotated 3'UTR
#   length_3UTR: length in nt of annotated 3'UTR
#   count_mRNA:  CNYTCNYT counts in annotated 5'UTR = count_5UTR + count_CDS + count_mRNA
#   length_mRNA: length in nt of annotated mRNA = length_5UTR + length_CDS + length_3UTR
#
id	count_5UTR	length_5UTR	count_CDS	length_CDS	count_3UTR	length_3UTR	count_mRNA	length_mRNA
CNAG_00002	0	69	0	525	1	178	1	772
CNAG_00003	0	51	4	1611	0	89	4	1751
CNAG_00004	0	103	3	2301	0	142	3	2546
CNAG_00005	0	213	4	1737	0	155	4	2105
CNAG_00006	1	54	0	957	0	79	1	1090
CNAG_00007	0	98	6	1749	0	121	6	1968
CNAG_00008	0	74	7	3510	0	63	7	3647
CNAG_00009	0	72	0	1098	0	302	0	1472
CNAG_00010	0	205	3	2970	0	273	3	3448
CNAG_00011	0	89	3	963	0	188	3	1240
CNAG_00012	0	110	5	1161	0	99	5	1370
CNAG_00013	0	796	0	615	2	771	2	2182
CNAG_00014	1	121	1	1842	0	722	2	2685
CNAG_00015	2	379	2	639	0	231	4	1249
CNAG_00016	0	125	0	255	1	417	1	797
CNAG_00017	1	325	10	2361	0	191	11	2877
CNAG_00018	0	51	2	2391	0	138	2	2580
CNAG_00019	1	48	0	270	0	135	1	453
CNAG_00020	0	23	2	2994	0	227	2	3244
CNAG_00021	0	129	7	1404	0	356	7	1889
CNAG_00022	0	51	2	810	2	240	4	1101
CNAG_00023	0	352	2	1086	0	145	2	1583
CNAG_00024	4	680	3	2160	4	903	11	3743
CNAG_00025	0	260	0	1800	0	585	0	2645
CNAG_00026	2	165	2	1311	0	123	4	1599
CNAG_00027	1	151	3	2208	0	878	4	3237
CNAG_00028	0	253	3	1482	0	131	3	1866
CNAG_00029	0	137	1	1074	0	82	1	1293
CNAG_00030	0	48	1	936	0	101	1	1085
CNAG_00031	2	97	0	2442	0	89	2	2628
CNAG_00032	0	185	1	804	4	1185	5	2174
CNAG_00034	0	39	1	576	0	120	1	735
CNAG_00035	7	1226	3	1581	2	587	12	3394
CNAG_00036	0	77	2	870	0	188	2	1135
CNAG_00038	0	67	0	1098	0	127	0	1292
CNAG_00039	1	757	3	2445	0	208	4	3410
CNAG_00040	0	109	5	1644	0	257	5	2010
CNAG_00043	0	39	3	1908	1	978	4	2925
CNAG_00044	0	89	3	3348	0	102	3	3539
CNAG_00045	0	87	1	1260	0	99	1	1446
CNAG_00046	0	56	0	1053	0	140	0	1249
CNAG_00047	0	205	1	1371	0	163	1	1739
CNAG_00048	1	305	4	1641	0	172	5	2118
CNAG_00049	0	612	2	978	0	104	2	1694
CNAG_00050	0	194	1	906	0	92	1	1192
CNAG_00051	1	1218	11	4920	0	216	12	6354
CNAG_00052	0	129	0	285	0	168	0	582
CNAG_00053	0	181	0	528	1	91	1	800
CNAG_00054	0	80	0	708	0	181	0	969
CNAG_00055	0	50	1	1167	0	98	1	1315
CNAG_00056	1	142	6	2025	0	82	7	2249
CNAG_00057	0	132	0	1053	0	150	0	1335
